comment,user_id,user_name,user_level,user_verify
[呆][呆][呆]你来了嘿！,39627524,食贫道,6,0
上去[打call],44199635,海的味道我咋知道,5,-1
捞捞你，太重了,157370942,EasonChhhhhhh,5,-1
抓到饼叔[星星眼],34066028,轮椅老哪吒,6,-1
捞捞[妙啊],249726364,夏佐-QAQ,5,-1
捞捞叔,156013936,莫向外求_97,5,-1
上去吧,517159357,星星一直不说话,4,-1
捞饼叔,37930456,一只幂橘,5,-1
表情太丑了wwww[辣眼睛],23516187,須君,5,-1
捞饼叔！,243687509,李成蹊1999,5,-1
豹王冰冰,179778570,睡不着的云上人,5,-1
[热词系列_知识增加],243695273,补位,5,-1
前排抓饼叔！,328003,-鹿有鸣-,6,-1
我的心是饼饼得[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge],60590385,地表最强小公举吹,5,-1
捞叔!![呆][呆][呆][呆],38009359,就算你知道你也不知道,5,-1
老矣老,356278498,江㵜,4,-1
冰冰和饼饼,359363391,Rose惜年,5,-1
你也来了[doge],449086256,偷喵酱的花椒QAQ,4,-1
你也来凑热闹[doge],509169248,keh浪,4,-1
嘿，野兽来找美女了[doge],199778930,狗狗pa了faker,5,-1
饼叔你来了，[呆][呆][呆][呆],435774098,一个普通的青年,4,-1
饼叔来了[吃瓜],122579935,白嫖大统领,4,-1
这表情绝了[呆],471432607,吃张扬的冰冰,5,-1
抓到饼叔了,509214774,以家子无玩,4,-1
捞,19627445,小安子今天努力了没,5,-1
记得合作啊,20542590,Eason子元君,5,-1
一刷一堆赞，真好玩,105528638,辞月寻忆,5,-1
必捞叔[妙啊],483972026,北陆ya,4,-1
我的心是饼饼的,454588159,自律的二月,4,-1
[呆][呆][呆]饼叔我记得你跟冰冰说过要不这频道你来做得了[滑稽][滑稽],358662940,随便打打12131243,5,-1
谁的心是饼饼的[呆][呆][呆],5924743,directxxxxx,5,-1
捞[W-哈哈],623589482,-西兰不是花-,3,-1
饼饼你来啦,32261155,MONSTER丶kk,5,-1
我的心是饼饼的,37812113,我选择不悔改,5,-1
我的心是饼饼的,28320190,寒丶霜降,5,-1
一刷一赞hhh,197856329,淇名为鲲,5,-1
饼叔配冰冰,123237730,一勺大苏打,5,-1
很快啊[doge],20027426,橘希尔芬福特酱,6,-1
捞叔捞不动,32596941,Def9Infinite,5,-1
[呆][呆][呆][呆],85926562,医生说我很正常丶,5,-1
冰冰要吃火锅！！饼饼给安排上？？GKD GKD！！,369817,bigfishman,6,-1
粉丝很快就会超过你的[doge][doge],57424548,钟秀童子,4,-1
up主觉得很赞,28838439,cLyuu,5,-1
[呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆],89207558,-顾小白_,5,-1
回复 @地表最强小公举吹 :兄弟，烂钱不能恰啊,37297137,堃堃小熊,5,-1
一看字母字体 就知道是食贫道团队了hhh,8380015,Victoricaaaaa,6,-1
马上跨年了，祝各位姐夫元旦快乐！,328003,-鹿有鸣-,6,-1
嘿，饼叔[呆],2026561407,吃花椒的喵酱,6,0
饼饼[呆]你来了啊,13078710,辰易Daniel,5,-1
我爱饼饼[爱心],123237730,一勺大苏打,5,-1
