comment,user_id,user_name,user_level,user_verify
这个up拖更太严重了，上个视频发的时候10万粉还不到，现在都快300万粉了[doge],17943017,玉璧月华明M,5,-1
一年了呢[吃瓜],381974339,传炀,5,-1
楼下书店没有您的著作，所以我把书店砸了，兄弟萌我做的对吗[doge],13711363,裴廓德的锚,6,-1
上一次发视频还是去年[思考][思考][思考],407159684,溏心核爆弹,4,-1
春晚排练,10087799,我不是群居动物Ab,5,-1
这up还开挂，一个视频200w，各位举报了吧（不是）[doge],290090439,苏莹草,5,-1
[热词系列_知识增加],292569371,王沐木同学,4,-1
隔了一年才发视频！！！,7969251,哈哈哈哈哈哈T,5,-1
冰冰这评论区速度就离谱！你们都住B站吗？看到11分钟前还想着能抢个评论呢[笑哭][笑哭][笑哭],261074524,我与赌毒弗共戴天,5,-1
冰冰是我主人鸭[打call],398279410,小空不是大鸽子,5,0
年更up主无疑了,478577954,张大剩呢,4,-1
发了2个视频，这个up有点[热词系列_秀],107325403,雪落牤牛河,5,-1
回复 @银风丶空空 :不至于不至于,19549544,我是临江仙,5,-1
回复 @银风丶空空 :老主任的任务了奥[doge],89593904,我才不是龙傲天呢,5,-1
我要上热评的热评[doge],483672118,凉笙墨染烟雨,4,-1
就是，上次更新还是去年的事呢[蛆音娘_滑稽],11782449,爱喝咖啡的凹凸曼,6,-1
回复 @我是临江仙 :真的，你看我简介[doge],398279410,小空不是大鸽子,5,0
跟着大佬总能收获一些零零散散的赞[doge],48047373,氢气球摇一摇,5,-1
回复 @笑我歸無處 :就是，都拖一年了，太鸽了[doge],14904198,Tocci橢奇,5,-1
回复 @抱王冰冰冰 :十一分钟还想抢热评，还是年轻[doge],438822437,盒马鲜生配送专员,4,-1
号是早上注册的，视频是中午发的，百大是晚上当的[doge],382591209,Monism0311,4,-1
没有弹幕满屏的老婆都不习惯了[doge][doge],391959437,几欲乘风起,5,-1
一年没更新了哈哈哈哈哈,243653181,爱学习的胖子123,5,-1
回复 @抱王冰冰冰 :离谱,351383392,吃花椒油喵酱,4,-1
回复 @大学小废物 :恐怖如斯。一刷10赞10平均[妙啊][妙啊],261074524,我与赌毒弗共戴天,5,-1
还是去年的,383779441,青枫52132,5,-1
新华书店？,383779441,青枫52132,5,-1
醒醒吧各位 人家有男朋友了 王冰冰男朋友的主页https://space.bilibili.com/,360208872,曹操为何生77,5,-1
"🧊🧊🧊🧊🧊🧊🧊🧊🧊
                 🧊
                 🧊
                 🧊
    🧊🧊🧊🧊🧊🧊🧊
                 🧊
                 🧊
                 🧊
🧊🧊🧊🧊🧊🧊🧊🧊🧊

                        🧊
    🧊                🧊   🧊
        🧊   🧊🧊🧊🧊
      🧊          🧊🧊   🧊
    🧊        🧊    🧊       🧊
  🧊      🧊        🧊           🧊
                    🧊🧊
                        🧊

                        🧊
    🧊                🧊   🧊
        🧊   🧊🧊🧊🧊
      🧊          🧊🧊   🧊
    🧊        🧊    🧊       🧊
  🧊      🧊        🧊           🧊
                    🧊🧊",398330441,XXxxxllIll,4,-1
一年一更,5519491,吃娇花的喵酱,5,-1
回复 @抱王冰冰冰 :34分钟，观看已经18万了[笑哭],1549258325,eEeEeiIiiiiiiiii,3,-1
别说了 lpl直播被冰冰掏空了[奸笑],273102150,歌手曾打鸣,5,-1
天冷了，我的心是冰冰的[doge],131263587,一半双枫,5,-1
跟着大佬混，总能得到一些零零散散的赞[doge],631113517,扇打诸葛亮,4,-1
BV1DA411H73T,37918194,鸽骑小渚,5,-1
一刷一个赞就离谱,20734436,叫我挚挚就好啦,5,-1
怎么办啊我来晚了好难受[滑稽],438693737,笔站结缘神,6,-1
回复 @抱王冰冰冰 :咋又看到你了[doge],35050391,-虚空破碎-,5,-1
上次发视频还是去年！这up年更[doge],37729236,森屿岛树时光恋人i,5,-1
对,290326936,啖花椒的喵醬,5,-1
以后我会多多更新的[doge][doge],18290701,吃花酱的瞄酱,5,-1
对 就很过分[doge],393144931,丫的昵称都被抢光了,5,-1
一分钟看完视频就离谱,510615180,vlog要用16进制,3,-1
2021年了我的心还是冰冰的[冷],128576695,上杉绘梨衣lii,5,-1
我要上热评的评论混赞,483590351,nksa,3,-1
[tv_doge],590772165,manggo_go,3,-1
[拥抱],590772165,manggo_go,3,-1
[doge][doge],38361361,故人逢君,5,-1
这不是来了嘛，这次含冰量足[doge][doge],1839283858,Memorylemon,3,-1
应该冲不上去了，请问up如何看“手下留情区”视频[doge],157187706,十一月的凡高,5,-1
年更up实锤[doge],771703,子木轻禾,6,-1
上个视频还是去年的冰冰今年发视频依旧还是这么多人[狗子][狗子],338432562,古都幽冥,5,-1
有一说一，更新还算勤快[热词系列_知识增加],503630962,究極の聖戦,5,-1
来已经是14000之外孔,520943174,玩游戏的哈皮,4,-1
跟着大佬混，总能得到一些零零散散的赞[doge],385609678,星乱233,3,-1
我爱冰冰！听懂了吗！,21194264,杉谷森,4,-1
[热词系列_好家伙][热词系列_好家伙],629942822,河海寒,4,-1
去年呢,166728749,立即推__放弃考研,5,-1
我现在来还来得及吗[doge],381642294,_旧人不在,4,-1
离谱,44548392,暗影修罗骑士,4,-1
一刷一个赞真好玩,435804777,朋犮,4,-1
我跟你们，说这个阿婆主啊，哪都挺好的，人长的也好看，视频做的也好，就是拖更太严重，上一次发布视频还是上一年，发第一个视频的时候啊，还没有几个粉丝，你瞅瞅，现在都几百万粉丝了，才发第二个视频，这让观众们怎么等得及啊[妙啊][妙啊][妙啊],409458588,赵宇翔CN,4,-1
年更UP主,539971063,张大帅肯,4,-1
跟着大佬混，总能得到一些零零散散的赞[doge],290326936,啖花椒的喵醬,5,-1
回复 @抱王冰冰冰 :没住b站，住冰冰家呢[tv_目瞪口呆],44951601,NeVeR_LB,5,-1
好家伙,470725754,风飞慑,3,-1
[doge],364316419,神奕ovo,4,-1
你们的弹幕吵到我的眼睛了,73787742,自由引领人民i,5,-1
[神乐七奈_dd斩首],10484643,某科学的凑DD,5,-1
我要看五遍,320516321,不考上研永不改名,3,-1
回复 @雪落牤牛河 :两个视频，但是还是有30万粉,482339617,萌X星,4,-1
住B站的吧你们[喜极而泣],179476426,转角依然,4,-1
确实[OK],693785342,Perhua,3,-1
一分钟增加三万播放[热词系列_好家伙],408515245,吃花椒的猫喵,3,-1
这就是传说中的年更阿婆主吗？,411948352,黄橙红绿青靛紫,4,-1
跟你混了[歪嘴],256969332,豆芽起司-3-,5,-1
111,67830225,wccaa,3,-1
002说明可能更到100[doge][doge],365224403,爱吃椰子的NaOH溶液,2,-1
万人血书要求今年春晚有冰冰主持[2021][抠鼻],502220297,帅气的中年猪,4,-1
看完了，评论多了3k,3269096,贝多芬小多多,5,-1
300w以上就开挂封号了,3849572,TIGERRRRr,5,-1
一个小时60万播放量就离谱,384186149,逢_坂_大_河_,4,-1
回复 @银风丶空空 :[大笑][大笑],19549544,我是临江仙,5,-1
真就B站人均有房，都这么快的吗？,160025818,卧美人膝掌天下权,5,-1
好好反思,488068728,吃冰椒的猫酱,4,-1
冰冰这涨粉速度已经超过罗翔老师了,92387548,蜜鞠学姐,4,-1
老婆啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊[喜欢][喜欢][喜欢],14166333,桀翎徵,5,-1
跟着大佬混，总能获得一些零零散散的赞[doge],281315751,ka繁星,4,-1
您说保守了，发第一个视频的时候只有几千粉丝[doge],1254957546,邯郸市精神病院王医生,3,-1
跟着大佬总能收获一些零零散散的赞[doge],443105132,北欧以北-,4,-1
漲粉太快了,382990006,白金之星的加藤鳴海,4,-1
和热评混总能混到一些赞[doge],169975290,战略性的眼光,4,-1
虽然放假回家了，但我的心还是冰冰的,407197474,未来的你过的好不好,4,-1
好家伙，这是一年一更啊,318137447,吃花椒的苗醤,5,-1
回复 @抱王冰冰冰 :你这名字就离谱！你是在冰冰旁边吗？评论的这么快。·,646972961,六个硬币的代价哈,4,-1
冰冰我来啦,38055504,莹子君呀,4,-1
回复 @曹操为何生77 :小伙子，你有前途。[吃瓜],259896423,有只鱼-_-,4,-1
坐等千万播放量[打call],2861413,昊天Zwei,4,-1
就很……离谱,14952121,欧尼酱香饼,5,-1
咕咕咕~咕[热词系列_咕咕],310734173,遠䢍亻二,3,-1
好家伙,382202670,夜来幽梦忽还乡3080,4,-1
你说的对！,353321091,lifes_s酷,5,-1
冰冰是谁？谁给我科普一下(≧∇≦)/,351378293,木子幻想营,2,-1
回复 @传炀 :何止一年,500481536,猫打呼噜-na,3,-1
哈哈哈哈哈哈哈哈哈,403045451,桃酥卷卷_,5,-1
我也觉得哈哈哈哈哈哈,57251783,花花猪宝贝,2,-1
年更up主[OK],10806933,LKXR,5,-1
[热词系列_知识增加],543738571,國產鴛小鴦,3,-1
跟着大佬混总能混到点赞[tv_可爱],318585002,abc哼哈,4,-1
[热词系列_知识增加],454487904,l石中火,5,-1
来了来了,438112012,梅菲斯特奥特曼,5,-1
挂了挂了,414130701,今天也想做打工人,4,-1
为啥冰冰关注列表里多了一个人[大哭],237582894,慢慢闲者,5,-1
两个小时一百万了[吃瓜],270452394,小虾米与大虾仁,4,-1
这个up怎么一年就发一个视频[doge],28708841,不姓彭的于晏,6,-1
你这个名字是天龙八部啊,356120859,我shi能厨,5,-1
蹭个楼[滑稽],308215076,中国微笑狗保护协会,5,-1
一天成为百大,35731792,塞纳河畔-左岸,5,-1
我就知道冰冰的男朋友会给我点赞[吃瓜],430678073,吃喵酱的冰冰_,4,-1
老婆[喜欢],423475055,紫色的明月,5,-1
我来战斗了，冰冰现在在我旁边说不放冰箱旺旺碎冰冰就不好吃了,498217053,南星不可爱,3,-1
回复 @XXxxxllIll :哈哈  你辛苦了,391068850,-西柚茶-,5,-1
拖更一年[doge],442406631,澪喵喵呜,5,-1
好家伙，你不说我还以为是三千万呢[doge],296776930,JackFrost233,4,-1
